TeamID,TeamName
1273,Team_173
1274,Team_174
1275,Team_175
1276,Team_176
1277,Team_177
1278,Team_178
1279,Team_179
1280,Team_180
1281,Team_181
1282,Team_182
1283,Team_183
1284,Team_184
1285,Team_185
1286,Team_186
1287,Team_187
1288,Team_188
1289,Team_189
1290,Team_190
1291,Team_191
1292,Team_192
1293,Team_193
1294,Team_194
1295,Team_195
1296,Team_196
1297,Team_197
1298,Team_198
1299,Team_199
1300,Team_200
1301,Team_201
1302,Team_202
1303,Team_203
1304,Team_204
1305,Team_205
1306,Team_206
1307,Team_207
1308,Team_208
1309,Team_209
1310,Team_210
1311,Team_211
1312,Team_212
1313,Team_213
1314,Team_214
1315,Team_215
1316,Team_216
1317,Team_217
1318,Team_218
1319,Team_219
1320,Team_220
1321,Team_221
1322,Team_222
1323,Team_223
1324,Team_224
1325,Team_225
1326,Team_226
1327,Team_227
1328,Team_228
1329,Team_229
1330,Team_230
1331,Team_231
1332,Team_232
1333,Team_233
1334,Team_234
1335,Team_235
1336,Team_236
1337,Team_237
1338,Team_238
1339,Team_239
1340,Team_240
1341,Team_241
1342,Team_242
1343,Team_243
1344,Team_244
1345,Team_245
1346,Team_246
1347,Team_247
1348,Team_248
1349,Team_249
1350,Team_250
1351,Team_251
1352,Team_252
1353,Team_253
1354,Team_254
1355,Team_255
1356,Team_256
1357,Team_257
1358,Team_258
1359,Team_259
1360,Team_260
1361,Team_261
1362,Team_262
1363,Team_263
1364,Team_264
1365,Team_265
1366,Team_266
1367,Team_267
1368,Team_268
1369,Team_269
1370,Team_270
1371,Team_271
1372,Team_272
1373,Team_273
1374,Team_274
1375,Team_275
1376,Team_276
1377,Team_277
1378,Team_278
1379,Team_279
1380,Team_280
1381,Team_281
1382,Team_282
1383,Team_283
1384,Team_284
1385,Team_285
1386,Team_286
1387,Team_287
1388,Team_288
1389,Team_289
1390,Team_290
1391,Team_291
1392,Team_292
1393,Team_293
1394,Team_294
1395,Team_295
1396,Team_296
1397,Team_297
1398,Team_298
1399,Team_299
1400,Team_300
1401,Team_301
1402,Team_302
1403,Team_303
1404,Team_304
1405,Team_305
1406,Team_306
1407,Team_307
1408,Team_308
1409,Team_309
1410,Team_310
1411,Team_311
1412,Team_312
1413,Team_313
1414,Team_314
1415,Team_315
1416,Team_316
1417,Team_317
1418,Team_318
1419,Team_319
1420,Team_320
1421,Team_321
1422,Team_322
1423,Team_323
1424,Team_324
1425,Team_325
1426,Team_326
1427,Team_327
1428,Team_328
1429,Team_329
1430,Team_330
1431,Team_331
1432,Team_332
1433,Team_333
1434,Team_334
1435,Team_335
1436,Team_336
1437,Team_337
1438,Team_338
1439,Team_339
1440,Team_340
1441,Team_341
1442,Team_342
1443,Team_343
1444,Team_344
1445,Team_345
1446,Team_346
1447,Team_347
1448,Team_348
1449,Team_349
1450,Team_350
1451,Team_351
1452,Team_352
1453,Team_353
1454,Team_354
1455,Team_355
1456,Team_356
1457,Team_357
1458,Team_358
1459,Team_359
1460,Team_360
1461,Team_361
1462,Team_362
1463,Team_363
1464,Team_364
1465,Team_365
1466,Team_366
1467,Team_367
1468,Team_368
1469,Team_369
1470,Team_370
1471,Team_371
1472,Team_372
1473,Team_373
1474,Team_374
1475,Team_375
1476,Team_376
1477,Team_377
1478,Team_378
1479,Team_379
1480,Team_380
1481,Team_381
