Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2010,136,1445,71,1224,62,N,0,28,57,8,19,14,18,11,31,14,12,2,6,14,25,73,10,20,13,19,6,31,12,15,8,1,20
2010,136,1160,60,1375,57,N,0,23,64,5,14,10,14,11,25,14,9,5,8,16,23,62,7,17,13,19,7,27,12,10,9,3,23
2010,136,1411,61,1290,59,N,0,21,62,8,20,16,20,7,20,12,9,5,4,20,23,62,9,18,17,21,12,22,13,13,7,5,19
2010,136,1425,75,1277,71,N,0,25,55,8,16,15,19,11,26,17,11,6,4,15,32,57,7,18,15,21,10,21,18,14,5,0,13
2010,136,1334,63,1158,61,N,0,23,72,8,17,13,19,11,18,14,7,7,3,22,26,59,7,15,9,13,12,24,15,11,6,2,18
2010,138,1334,70,1401,66,N,0,26,52,9,23,12,17,8,21,13,14,4,5,21,27,62,6,16,16,21,12,21,15,15,8,4,19
2010,138,1425,61,1413,58,N,0,26,59,6,13,17,21,9,24,12,16,3,3,23,27,65,9,20,11,17,7,29,15,14,8,3,18
2010,138,1202,70,1411,68,N,0,30,56,6,17,10,15,0,28,18,11,5,5,23,27,57,8,19,15,19,10,24,11,10,5,4,15
2010,138,1445,79,1160,66,N,0,28,63,8,20,7,10,8,21,17,13,5,2,10,29,66,9,22,9,13,13,22,17,18,6,2,19
2010,140,1445,60,1334,52,N,0,23,54,9,21,12,17,5,29,12,15,9,5,19,19,52,9,18,9,14,14,30,9,12,7,2,12
2010,140,1202,63,1425,61,N,0,26,54,8,19,13,20,8,29,14,9,9,4,16,29,62,7,17,15,18,5,21,16,16,8,0,18
2010,142,1445,77,1202,73,N,0,29,72,6,16,15,22,16,27,13,10,3,6,18,29,62,6,16,17,22,8,22,18,14,5,3,14
2010,136,1455,65,1263,58,N,0,24,60,8,21,19,26,7,23,11,9,3,4,17,23,60,10,20,23,27,9,24,12,12,8,1,19
2010,136,1440,64,1227,61,N,0,20,65,8,21,9,15,10,26,11,17,1,3,15,23,51,8,18,12,15,8,24,12,16,2,5,16
2010,136,1291,56,1111,50,N,0,19,53,11,21,16,20,11,30,13,15,5,1,15,22,60,5,19,15,20,12,24,11,10,5,3,17
2010,136,1311,63,1284,55,N,0,24,62,7,15,15,21,10,23,15,13,4,4,16,23,64,7,18,12,20,15,22,11,6,8,3,22
2010,136,1241,57,1408,56,N,0,22,62,7,22,16,22,11,24,11,15,6,0,18,18,61,10,18,13,17,9,27,10,16,10,4,10
2010,136,1258,61,1104,57,N,0,24,67,5,15,13,19,9,26,14,17,5,2,13,27,58,9,20,17,22,9,22,18,9,7,5,12
2010,136,1328,58,1281,48,N,0,23,58,7,15,16,20,4,19,10,13,4,1,12,18,60,10,25,14,20,8,22,10,18,6,6,24
2010,136,1240,66,1294,52,N,0,23,62,10,18,12,15,10,22,13,16,8,4,18,18,44,9,19,13,15,6,21,9,13,5,2,17
2010,138,1240,76,1455,54,N,0,31,63,13,20,15,20,13,20,20,13,6,3,19,22,49,10,27,12,16,10,21,12,10,9,2,18
2010,138,1328,71,1440,64,N,0,30,73,10,22,11,15,6,17,15,11,2,4,14,25,59,7,17,12,15,10,26,16,17,9,4,17
2010,138,1291,73,1258,62,N,0,30,76,8,18,14,19,9,20,14,9,8,1,19,24,63,6,17,12,16,7,20,11,15,6,4,22
2010,138,1311,64,1241,56,N,0,31,47,4,14,15,22,13,19,18,8,9,3,11,22,60,4,18,12,16,13,22,8,13,6,3,12
2010,140,1240,74,1311,57,N,0,27,59,12,18,12,17,10,22,15,13,7,2,19,25,61,7,18,10,16,7,23,19,7,7,4,16
2010,140,1291,50,1328,49,N,0,19,56,7,16,13,20,7,20,9,11,6,4,13,17,56,8,17,13,18,12,24,8,11,7,5,14
2010,142,1240,68,1291,57,N,0,26,44,18,24,14,18,10,17,10,15,5,3,22,22,61,10,19,13,19,12,27,14,14,4,3,18
2010,136,1267,64,1466,61,N,0,22,59,7,20,12,18,12,27,11,15,5,4,19,25,50,12,26,14,17,9,20,13,9,6,2,16
2010,136,1249,63,1204,59,N,0,23,69,11,25,14,18,8,18,8,12,7,6,22,23,63,7,18,8,11,7,23,9,9,8,1,17
2010,136,1374,73,1393,70,N,0,26,50,6,14,17,22,8,22,18,12,5,2,16,30,62,10,22,14,18,11,29,16,11,6,1,16
2010,136,1191,63,1474,62,N,0,24,60,8,20,14,19,10,16,12,21,6,6,19,25,56,11,25,13,19,8,29,12,4,10,6,13
2010,136,1131,62,1450,59,N,0,27,58,7,15,14,18,10,26,16,11,5,0,24,24,62,11,24,10,15,14,24,14,9,5,4,15
2010,136,1238,66,1472,59,N,0,27,66,9,20,9,12,10,26,13,10,2,4,17,24,60,6,14,13,18,12,29,11,14,2,4,18
2010,136,1410,67,1479,58,N,0,23,60,11,23,13,15,9,15,11,15,9,4,23,22,62,11,23,9,16,11,21,13,12,5,4,15
2010,136,1286,65,1426,63,N,0,23,56,14,31,16,21,6,24,11,8,5,5,18,27,55,8,22,17,24,12,28,12,14,4,4,17
2010,138,1267,51,1286,44,N,0,19,68,11,24,10,15,4,30,9,17,6,3,15,19,55,6,20,13,19,8,28,13,14,7,6,17
2010,138,1249,64,1410,58,N,0,23,57,7,21,12,17,10,29,11,14,6,3,22,21,57,10,22,18,23,5,27,10,9,7,4,22
2010,138,1374,75,1238,55,N,0,31,55,12,25,17,20,14,24,17,18,5,6,20,24,52,5,17,11,15,9,27,13,6,5,3,11
2010,138,1131,76,1191,69,N,0,31,59,8,19,19,26,7,24,18,8,5,1,17,30,61,11,27,12,16,9,24,23,15,3,2,24
2010,140,1131,68,1267,58,N,0,26,61,9,21,16,19,10,20,14,10,4,5,20,23,64,9,22,11,14,6,30,11,11,4,2,19
2010,140,1374,71,1249,66,N,0,29,44,7,17,10,16,16,25,13,9,7,6,17,27,57,9,21,7,11,11,28,16,15,7,5,16
2010,142,1374,61,1131,57,N,0,27,64,9,18,13,17,10,24,17,13,9,5,16,26,58,6,14,10,15,7,23,14,13,1,5,17
2010,146,1349,67,1445,56,N,0,25,67,17,26,17,21,15,27,15,10,10,5,16,22,60,8,18,14,20,5,19,10,14,8,4,19
2010,146,1240,61,1374,53,N,0,21,69,16,26,11,14,17,32,9,15,7,1,17,22,57,10,21,11,16,9,21,11,13,4,5,19
2010,148,1240,67,1349,65,N,0,27,51,12,21,14,19,9,29,17,15,5,6,16,26,72,13,23,13,18,8,26,13,14,5,2,14
2011,136,1401,69,1158,64,N,0,29,59,5,12,14,18,9,16,16,11,8,1,17,25,61,6,17,17,23,8,31,16,12,3,1,20
2011,136,1151,66,1294,59,N,0,24,58,7,16,16,22,10,22,13,16,7,5,22,21,66,5,17,16,20,9,30,11,9,5,2,21
2011,136,1345,90,1454,75,N,0,36,65,13,24,7,11,5,30,21,15,8,4,23,31,55,9,25,11,16,5,23,13,16,7,3,19
2011,136,1258,61,1166,58,N,0,23,48,8,18,13,17,10,22,12,15,5,5,15,22,68,6,17,14,20,12,18,14,10,8,7,17
2011,136,1466,64,1413,58,N,0,21,67,7,19,9,14,6,28,11,11,3,2,16,24,64,7,20,18,23,5,23,11,16,4,6,18
2011,136,1224,63,1239,56,N,0,28,71,6,18,15,19,7,22,15,11,7,4,20,23,45,13,28,16,18,12,28,16,8,5,0,21
2011,136,1366,69,1277,66,N,0,30,61,9,18,11,17,7,26,18,16,4,6,18,25,55,6,17,5,9,5,24,14,11,4,1,8
2011,136,1455,73,1438,64,N,0,32,66,6,16,18,25,8,28,19,12,5,8,21,28,56,4,13,16,21,8,21,14,12,6,5,20
2011,138,1455,66,1401,63,N,0,25,58,8,21,11,15,3,26,12,12,5,0,14,25,65,12,23,10,14,12,26,11,18,5,0,13
2011,138,1366,64,1151,63,N,0,24,52,10,21,11,16,10,27,14,14,3,5,22,25,67,8,23,12,16,7,25,13,9,6,4,19
2011,138,1224,51,1345,49,N,0,19,66,3,8,10,14,14,20,9,14,7,6,20,17,50,13,26,11,14,13,26,10,9,6,7,19
2011,138,1258,60,1466,54,N,0,22,66,8,22,9,12,8,23,13,16,6,1,19,24,65,10,19,9,15,10,28,12,14,7,8,19
2011,140,1258,63,1455,56,N,0,20,53,7,22,20,26,10,28,12,16,4,1,22,22,48,12,27,9,13,13,24,10,12,5,4,17
2011,140,1366,64,1224,61,N,0,24,72,8,21,13,19,9,28,14,22,7,1,16,22,69,9,21,14,20,14,26,13,14,7,4,17
2011,142,1366,69,1258,66,N,0,25,59,9,22,17,23,11,27,13,12,7,6,21,20,65,7,17,11,15,6,24,8,8,4,1,22
2011,136,1256,60,1425,55,N,0,24,71,9,18,13,16,14,26,14,13,3,3,22,19,56,5,13,11,15,6,24,9,11,4,4,16
2011,136,1426,64,1353,61,N,0,24,55,6,19,14,19,12,25,11,12,6,1,19,20,60,10,20,6,9,5,24,14,11,4,4,14
2011,136,1112,71,1419,69,N,0,29,55,8,23,13,19,12,19,12,13,4,4,17,27,57,9,22,11,16,11,24,16,12,9,4,19
2011,136,1476,58,1219,51,N,0,17,63,10,21,14,18,12,27,8,15,5,6,19,17,63,11,21,14,18,4,30,11,13,7,2,13
2011,136,1114,69,1348,65,N,0,27,61,8,23,14,19,9,28,16,11,5,1,18,25,64,9,17,11,13,9,31,16,19,9,3,17
2011,136,1179,59,1431,57,N,0,21,60,7,19,15,19,15,26,12,7,6,2,14,20,64,4,14,15,21,11,23,11,13,3,3,17
2011,136,1240,87,1302,66,N,0,32,59,14,23,19,22,11,22,20,10,10,6,20,25,54,4,14,14,19,7,20,15,16,6,5,18
2011,136,1374,70,1291,66,N,0,28,54,9,21,13,18,12,28,15,10,8,3,14,28,57,7,16,10,16,6,25,16,20,4,7,19
2011,138,1256,54,1374,47,N,0,16,55,11,23,13,17,9,26,8,14,6,3,14,19,65,12,20,13,19,6,26,13,9,5,6,18
2011,138,1240,75,1426,55,N,0,30,64,11,21,20,25,8,22,14,15,10,1,18,22,63,4,15,15,23,11,24,9,8,5,5,23
2011,138,1112,73,1179,66,N,0,29,58,9,22,14,19,10,27,14,14,4,6,21,25,55,8,25,9,13,10,27,14,10,4,6,14
2011,138,1476,71,1114,59,N,0,25,65,10,20,10,14,9,23,16,17,6,4,20,18,53,8,18,11,16,11,23,11,12,7,5,19
2011,140,1476,68,1256,63,N,0,30,47,14,23,14,19,9,24,16,18,5,5,16,26,70,9,20,9,14,11,24,14,8,7,8,20
2011,140,1112,53,1240,49,N,0,21,64,11,24,10,15,12,29,11,14,5,6,15,22,59,13,23,12,16,9,28,10,14,5,0,16
2011,142,1112,51,1476,43,N,0,17,53,8,19,12,17,13,27,5,17,7,6,14,20,61,12,24,14,19,8,21,10,11,2,3,17
2011,136,1202,54,1439,50,N,0,19,57,4,11,15,23,12,22,11,12,2,5,17,22,63,6,15,15,17,5,22,12,9,7,2,19
2011,136,1450,65,1227,61,N,0,25,61,6,14,14,19,14,24,12,10,4,3,23,26,70,7,19,14,18,11,21,17,13,5,5,18
2011,136,1423,66,1290,58,N,0,24,73,6,15,7,10,11,24,14,7,4,5,19,20,66,12,25,16,22,11,28,9,9,5,3,17
2011,136,1281,59,1448,53,N,0,24,57,4,12,12,14,7,17,10,10,5,3,21,19,51,7,22,14,21,7,27,11,13,5,3,16
2011,136,1136,65,1375,60,N,0,25,55,6,15,13,18,8,25,12,14,6,2,22,28,56,6,13,15,22,7,21,13,11,5,4,21
2011,136,1393,65,1472,63,N,0,30,53,3,12,10,14,10,26,17,13,7,6,15,30,60,6,16,11,16,1,27,17,9,7,2,21
2011,136,1410,68,1479,65,N,0,26,50,12,21,8,12,10,32,17,15,7,3,18,27,71,6,16,12,18,12,28,16,15,5,4,18
2011,136,1160,74,1379,65,N,0,26,52,7,16,14,20,9,27,15,14,7,4,23,28,54,8,18,12,16,7,26,12,17,7,5,19
2011,138,1202,69,1160,66,N,0,30,57,9,21,12,16,13,25,18,10,2,7,14,25,75,7,18,13,15,8,22,10,13,4,4,18
2011,138,1410,63,1450,60,N,0,26,60,11,21,12,15,8,22,17,11,5,6,14,25,76,10,21,11,14,11,29,14,20,6,4,15
2011,138,1393,79,1423,69,N,0,33,60,7,17,19,27,10,21,21,11,7,5,20,27,53,7,20,11,16,10,31,12,10,6,5,15
2011,138,1281,76,1136,68,N,0,28,62,9,22,10,15,13,19,15,14,1,4,17,28,55,7,20,16,20,13,23,17,6,7,7,20
2011,140,1281,60,1202,58,N,0,23,63,7,22,9,13,14,21,10,14,8,4,19,21,63,5,14,12,18,18,30,11,15,8,2,20
2011,140,1393,52,1410,45,N,0,17,57,10,21,16,24,8,19,9,17,8,4,21,22,66,7,22,5,5,8,30,15,14,5,4,18
2011,142,1281,69,1393,65,N,0,27,51,9,21,7,9,11,21,19,10,6,4,17,24,61,9,21,13,15,2,19,12,12,5,3,18
2011,136,1131,71,1445,64,N,0,28,65,11,24,16,22,7,23,18,13,5,2,19,20,58,11,25,13,18,7,27,10,12,4,0,17
2011,136,1263,70,1444,55,N,0,28,61,10,21,13,19,8,26,15,15,6,3,19,18,57,9,21,8,12,13,21,7,10,6,2,17
2011,136,1249,66,1383,64,N,0,24,63,6,19,12,15,9,15,14,11,3,1,19,27,58,5,15,12,17,11,23,17,12,7,6,18
2011,136,1318,63,1103,58,N,0,26,73,9,17,8,12,8,18,16,12,5,4,13,21,53,6,18,14,20,13,30,9,10,4,3,19
2011,136,1328,69,1316,56,N,0,27,67,9,19,13,19,13,18,15,11,4,3,16,21,57,7,18,10,11,6,30,10,18,5,4,19
2011,136,1169,54,1327,47,N,0,22,57,10,21,11,16,6,30,13,15,5,5,16,21,54,10,20,14,19,3,27,11,17,6,0,18
2011,136,1349,72,1432,51,N,0,29,71,13,22,17,20,11,26,19,8,7,4,15,20,61,6,15,12,17,5,32,9,16,7,7,19
2011,136,1473,69,1408,65,N,0,28,56,9,25,14,19,12,15,13,14,4,0,12,31,62,8,18,11,13,10,32,16,14,7,4,18
2011,138,1473,55,1131,53,N,0,21,52,9,22,13,19,14,29,14,13,5,7,21,21,55,11,23,16,22,11,24,8,12,6,1,20
2011,138,1263,58,1349,57,N,0,23,55,12,22,13,18,5,20,14,13,11,1,30,21,62,6,12,13,17,11,24,10,14,5,1,15
2011,138,1169,68,1249,57,N,0,28,49,11,24,14,18,7,27,15,14,5,5,17,21,75,4,16,8,12,10,28,14,14,7,4,20
2011,138,1328,65,1318,56,N,0,26,55,13,24,14,18,10,23,12,14,6,5,21,20,52,7,17,11,17,8,33,13,13,6,3,16
2011,140,1473,64,1328,58,N,0,27,66,9,22,12,19,13,25,16,15,4,4,19,25,42,9,16,8,13,9,21,15,9,4,3,15
2011,140,1263,78,1169,57,N,0,27,46,9,20,13,16,13,21,13,13,5,3,18,25,67,6,16,13,18,11,27,13,12,3,4,19
2011,142,1473,58,1263,49,N,0,24,60,6,17,10,15,16,29,11,12,7,2,17,20,64,13,23,19,26,12,23,11,16,3,7,15
2011,146,1112,59,1366,53,N,0,23,54,8,18,15,24,14,18,16,15,8,6,18,18,60,3,11,13,19,10,29,15,15,3,1,14
2011,146,1281,60,1473,59,N,0,20,65,12,22,11,17,12,31,11,13,5,5,15,23,60,8,20,10,15,10,23,15,9,6,2,11
2011,148,1112,70,1281,61,N,0,26,57,8,20,15,21,15,29,11,12,4,6,18,21,59,10,24,9,13,11,29,8,10,5,1,21
2012,136,1318,58,1103,54,N,0,18,61,10,19,10,14,4,23,7,15,9,5,17,22,72,4,14,12,16,6,23,13,16,9,3,19
2012,136,1479,67,1104,56,N,0,27,62,10,24,12,16,12,28,14,13,6,5,19,21,60,8,21,17,24,10,25,12,13,4,1,11
2012,136,1316,65,1445,56,N,0,24,42,7,21,6,11,13,30,11,16,4,4,19,25,67,8,18,15,18,8,25,12,17,6,4,16
2012,136,1224,61,1281,57,N,0,22,58,9,17,14,18,9,24,11,9,4,2,13,24,60,7,19,14,20,11,22,12,10,2,3,24
2012,136,1256,62,1284,54,N,0,26,60,9,17,11,13,8,24,19,15,1,5,13,22,63,6,17,11,14,5,32,13,11,6,4,20
2012,136,1383,59,1408,51,N,0,24,55,11,26,15,22,3,24,14,13,4,3,13,22,47,8,16,14,17,10,21,12,9,6,4,18
2012,136,1414,50,1375,48,N,0,21,69,6,15,12,16,11,20,10,6,4,5,15,20,55,9,21,12,15,12,22,11,15,8,5,20
2012,136,1410,72,1415,62,N,0,25,63,12,25,18,23,8,28,13,13,3,6,13,27,70,5,17,13,17,10,28,15,8,5,5,12
2012,138,1410,70,1318,68,N,0,24,60,7,15,13,15,13,29,12,11,7,4,16,24,65,7,19,13,18,13,25,9,9,7,5,18
2012,138,1479,65,1414,54,N,0,22,65,10,19,18,23,13,24,12,18,6,6,14,16,70,6,19,11,19,11,19,7,13,8,4,14
2012,138,1383,63,1316,62,N,0,25,56,6,16,15,17,12,21,13,13,3,4,14,24,54,8,22,11,16,16,28,15,7,7,1,18
2012,138,1224,66,1256,63,N,0,25,66,12,25,7,12,9,22,14,13,5,6,11,27,63,12,24,13,20,14,19,13,13,5,3,17
2012,140,1224,60,1410,58,N,0,23,67,9,22,12,16,10,29,14,14,7,4,16,20,67,6,15,13,18,11,24,13,12,7,3,14
2012,140,1479,60,1383,53,N,0,21,68,10,21,18,22,10,25,9,6,5,3,20,22,68,4,12,14,19,10,20,16,15,7,2,15
2012,142,1479,71,1224,68,N,0,27,54,12,23,8,13,14,23,15,10,4,0,16,29,63,8,19,17,23,12,23,16,11,10,5,17
2012,136,1476,79,1238,65,N,0,35,64,8,17,13,15,10,22,17,14,2,5,21,26,54,5,12,14,19,7,27,12,14,9,4,18
2012,136,1374,66,1455,62,N,0,24,57,12,21,12,16,13,22,11,11,8,4,16,26,54,6,16,14,20,14,30,13,19,4,1,19
2012,136,1239,70,1379,69,N,0,30,59,9,19,13,17,12,24,16,15,4,4,18,29,59,9,25,9,14,11,30,17,12,3,2,16
2012,136,1290,57,1425,51,N,0,24,48,7,21,13,19,10,27,12,11,4,3,16,17,58,13,27,18,24,13,23,12,8,6,2,16
2012,136,1141,58,1345,56,N,0,23,69,5,17,13,20,11,24,13,12,6,4,19,22,72,7,14,14,20,13,23,10,13,7,4,20
2012,136,1472,54,1294,48,N,0,19,55,8,18,10,14,11,28,9,17,6,2,15,15,64,4,16,11,17,10,31,6,17,6,3,12
2012,136,1450,65,1413,64,N,0,24,57,6,19,16,22,10,22,12,15,8,3,15,30,59,12,28,13,19,10,17,10,14,4,5,13
2012,136,1393,78,1267,71,N,0,32,53,11,22,13,17,9,22,15,9,8,6,14,28,75,6,18,16,20,9,28,14,7,3,4,19
2012,138,1393,56,1476,54,N,0,21,56,8,22,13,19,13,24,13,14,4,5,14,22,69,10,23,11,14,13,28,10,5,6,4,19
2012,138,1374,53,1450,49,N,0,21,56,8,15,12,15,5,18,12,12,5,2,22,20,59,7,15,10,12,5,22,14,14,5,3,13
2012,138,1239,66,1472,57,N,0,26,54,11,23,14,19,12,25,12,13,3,5,17,20,67,6,15,17,21,11,27,14,16,4,4,24
2012,138,1290,75,1141,68,N,0,26,54,6,16,11,15,8,30,14,11,5,5,19,25,61,3,9,11,16,12,30,15,12,7,5,14
2012,140,1290,68,1393,67,N,0,28,60,12,22,8,14,17,24,18,12,12,3,19,25,67,12,26,19,25,9,22,14,13,8,1,19
2012,140,1239,71,1374,64,N,0,27,54,10,20,15,20,5,24,14,8,5,2,24,26,55,9,19,11,14,9,27,17,17,7,2,19
2012,142,1239,61,1290,58,N,0,21,70,10,18,12,14,7,27,12,8,8,1,14,22,58,10,18,9,11,7,25,10,13,5,7,16
2012,136,1411,67,1444,66,N,0,24,56,8,17,7,10,10,26,12,10,9,3,15,27,64,10,21,13,20,9,19,13,19,5,8,16
2012,136,1349,69,1348,52,N,0,26,64,12,19,18,21,7,27,12,12,7,4,18,20,55,11,20,11,15,8,24,8,12,4,6,21
2012,136,1189,56,1401,52,N,0,23,64,8,24,10,16,12,24,12,10,10,5,18,23,55,11,24,9,14,13,25,9,15,2,6,20
2012,136,1209,70,1219,64,N,0,29,69,5,17,14,20,16,28,19,9,5,4,18,23,67,6,16,18,23,17,17,14,17,6,2,19
2012,136,1291,63,1149,59,N,0,21,59,10,23,14,17,12,17,10,11,9,0,15,24,58,8,20,13,20,12,29,12,13,3,5,15
2012,136,1423,70,1178,64,N,0,28,65,7,19,14,21,9,35,16,14,7,3,19,23,61,7,21,10,15,12,25,11,18,6,5,18
2012,136,1285,62,1135,57,N,0,24,56,8,23,6,6,9,25,14,14,4,2,15,22,65,10,24,12,19,6,21,12,16,7,5,17
2012,136,1286,58,1353,56,N,0,23,61,7,17,13,16,7,27,12,14,5,3,21,22,65,11,24,20,27,8,22,12,7,5,5,19
2012,138,1411,63,1286,57,N,0,25,57,16,34,14,21,4,29,11,11,4,5,21,24,63,10,24,10,14,9,19,12,12,7,5,17
2012,138,1349,82,1285,55,N,0,36,72,9,17,10,12,12,26,16,9,5,2,20,25,63,8,18,18,25,15,27,17,11,6,4,20
2012,138,1423,78,1189,70,N,0,32,58,10,21,18,25,11,26,12,11,3,5,22,28,62,9,19,15,22,3,22,14,13,5,7,16
2012,138,1209,56,1291,51,N,0,19,66,6,22,10,16,13,25,12,11,6,3,18,20,59,12,22,13,18,8,23,8,7,4,0,20
2012,140,1411,61,1209,58,N,0,23,66,11,25,13,20,15,20,14,11,4,4,22,22,74,4,11,19,24,10,20,9,14,7,0,17
2012,140,1349,69,1423,43,N,0,25,64,12,22,12,17,6,23,13,13,2,3,19,15,69,5,15,15,20,6,28,8,14,1,1,17
2012,142,1349,69,1411,49,N,0,29,58,13,22,18,21,11,15,11,15,4,2,20,21,47,6,17,15,25,9,17,12,11,9,6,24
2012,136,1131,62,1240,54,N,0,28,69,12,25,12,14,9,23,16,11,5,3,14,22,56,11,18,10,12,9,20,12,16,5,1,21
2012,136,1327,78,1249,64,N,0,31,49,9,17,16,21,8,18,16,9,5,3,20,26,52,5,13,15,22,11,22,13,10,7,4,13
2012,136,1328,66,1136,61,N,0,28,68,7,15,1,3,6,23,14,9,2,1,15,21,57,7,19,8,9,12,27,10,12,6,3,20
2012,136,1334,67,1263,66,N,0,27,62,9,23,16,19,8,22,15,10,2,2,22,29,49,7,16,11,15,4,16,15,11,6,3,17
2012,136,1169,67,1123,61,N,0,24,48,7,17,16,21,7,26,13,19,7,6,20,24,71,7,15,9,13,12,17,12,16,3,5,18
2012,136,1452,68,1302,67,N,0,24,60,9,21,13,19,10,30,10,13,8,3,18,23,60,9,19,12,15,11,33,13,14,6,4,18
2012,136,1277,68,1475,58,N,0,24,50,9,17,13,17,11,32,12,15,4,5,11,20,62,6,15,9,14,8,26,8,9,6,6,12
2012,136,1227,66,1431,62,N,0,26,55,13,26,13,19,9,17,11,19,6,3,16,22,61,11,23,17,21,5,25,11,15,5,6,18
2012,138,1131,73,1227,63,N,0,27,60,8,17,12,16,11,22,15,16,2,4,15,26,58,9,20,17,22,5,34,16,11,8,3,15
2012,138,1327,68,1277,53,N,0,24,58,12,20,9,13,12,27,12,15,8,4,20,21,56,7,19,13,16,6,24,11,13,2,4,19
2012,138,1328,64,1452,62,N,0,26,68,10,25,16,21,14,25,17,4,3,4,15,23,62,11,23,16,22,10,23,11,15,2,3,16
2012,138,1334,56,1169,54,N,0,24,63,8,21,12,19,7,26,15,19,5,4,12,22,62,11,28,10,16,8,25,10,14,6,6,17
2012,140,1131,68,1334,64,N,0,25,56,11,21,13,19,12,19,13,10,8,2,20,28,65,5,17,14,19,12,29,17,4,4,7,16
2012,140,1327,69,1328,65,N,0,25,56,9,14,12,14,16,15,16,15,6,2,25,23,65,12,25,12,17,13,21,15,15,5,2,20
2012,142,1131,67,1327,66,N,0,27,64,11,25,7,9,12,29,15,14,6,5,18,25,57,6,13,13,17,7,23,16,16,10,5,13
2012,146,1239,71,1479,66,N,0,29,56,8,19,13,17,14,29,15,15,5,3,24,28,55,7,18,16,21,7,19,16,12,7,2,19
2012,146,1131,62,1349,61,N,0,27,67,7,17,17,23,18,24,16,14,5,4,18,24,59,19,34,12,15,7,17,14,12,7,4,22
2012,148,1131,66,1239,59,N,0,23,55,10,22,11,15,11,18,11,12,4,4,18,24,66,6,15,7,10,10,32,16,14,6,4,16
2013,136,1281,65,1265,62,N,0,24,53,6,17,12,18,11,27,16,14,8,5,16,26,52,6,17,11,15,11,26,14,11,7,5,15
2013,136,1158,72,1119,63,N,0,27,56,8,19,13,17,4,23,13,19,5,3,18,27,47,6,16,14,22,9,28,19,10,6,3,19
2013,136,1366,60,1286,59,N,0,24,64,7,20,19,26,10,25,12,17,4,3,21,23,58,12,26,15,20,11,27,13,21,4,2,21
